,-,b,d,g,p,t,k,j,q,x,z,c,s,zh,ch,sh,m,n,l,f,h,y,w,r
a,a,b a,d a,g a,p a,t a,k a,,,,z a,c a,s a,zh a,ch a,sh a,m a,n a,l a,f a,h a,ia,ua,
o,o,b uo,,,p uo,,,,,,,,,,,,m uo,,l uo,f uo,,io,uo,
e,e,,d e,g e,,t e,k e,,,,z e,c e,s e,zh e,ch e,sh e,m e,n e,l e,,h e,iE,,r e
i,,b i,d i,,p i,t i,,j i,q i,x i,z i0,c i0,s i0,zh iR,ch iR,sh iR,m i,n i,l i,,,i,,r iR
u,,b u,d u,g u,p u,t u,k u,j v,q v,x v,z u,c u,s u,zh u,ch u,sh u,m u,n u,l u,f u,h u,v,u,r u
v,,,,,,,,,,,,,,,,,,n v,l v,,,,,
ai,ai,b ai,d ai,g ai,p ai,t ai,k ai,,,,z ai,c ai,s ai,zh ai,ch ai,sh ai,m ai,n ai,l ai,,h ai,,uai,
ao,ao,b ao,d ao,g ao,p ao,t ao,k ao,,,,z ao,c ao,s ao,zh ao,ch ao,sh ao,m ao,n ao,l ao,,h ao,iao,,r ao
ei,Ei,b Ei,d Ei,g Ei,p Ei,t Ei,k Ei,,,,z Ei,,,zh Ei,,sh Ei,m Ei,n Ei,l Ei,f Ei,h Ei,,uEi,
ou,ou,,d ou,g ou,p ou,t ou,k ou,,,,z ou,c ou,s ou,zh ou,ch ou,sh ou,m ou,n ou,l ou,f ou,h ou,iou,,r ou
uo,,,d uo,g uo,,t uo,k uo,,,,z uo,c uo,s uo,zh uo,ch uo,sh uo,,n uo,l uo,,h uo,,,r uo
an,an,b an,d an,g an,p an,t an,k an,,,,z an,c an,s an,zh an,ch an,sh an,m an,n an,l an,f an,h an,iEn,uan,r an
en,en,b en,d en,g en,p en,,k en,,,,z en,c en,s en,zh en,ch en,sh en,m en,n en,,f en,h en,,un,r en
in,,b in,,,p in,,,j in,q in,x in,,,,,,,m in,n in,l in,,,in,,
un,,,d un,g un,,t un,k un,j vn,q vn,x vn,z un,c un,s un,zh un,ch un,sh un,,n un,l un,,h un,vn,,r un
ang,ang,b ang,d ang,g ang,p ang,t ang,k ang,,,,z ang,c ang,s ang,zh ang,ch ang,sh ang,m ang,n ang,l ang,f ang,h ang,iang,uang,r ang
eng,eng,b eng,d eng,g eng,p eng,t eng,k eng,,,,z eng,c eng,s eng,zh eng,ch eng,sh eng,m eng,n eng,l eng,f eng,h eng,,ueng,r eng
ing,,b ing,d ing,,p ing,t ing,,j ing,q ing,x ing,,,,,,,m ing,n ing,l ing,,,ing,,
ong,,,d ong,g ong,,t ong,k ong,,,,z ong,c ong,s ong,zh ong,ch ong,,,n ong,l ong,,h ong,iong,,r ong
ia,,,d ia,,,,,j ia,q ia,x ia,,,,,,,,,l ia,,,,,
ian,,b iEn,d iEn,,p iEn,t iEn,,j iEn,q iEn,x iEn,,,,,,,m iEn,n iEn,l iEn,,,,,
iang,,b iang,,,,,,j iang,q iang,x iang,,,,,,,,n iang,l iang,,,,,
iong,,,,,,,,j iong,q iong,x iong,,,,,,,,,,,,,,
ie,,b iE,d iE,,p iE,t iE,,j iE,q iE,x iE,,,,,,,m iE,n iE,l iE,,,,,
iu,,,d iou,,,,,j iou,q iou,x iou,,,,,,,m iou,n iou,l iou,,,,,
iao,,b iao,d iao,,p iao,t iao,,j iao,q iao,x iao,,,,,,,m iao,n iao,l iao,f iao,,,,
ua,,,,g ua,,,k ua,,,,,,,zh ua,ch ua,sh ua,,,,,h ua,,,r ua
uan,,,d uan,g uan,,t uan,k uan,j vEn,q vEn,x vEn,z uan,c uan,s uan,zh uan,ch uan,sh uan,,n uan,l uan,,h uan,vEn,,r uan
uang,,,,g uang,,,k uang,,,,,,,zh uang,ch uang,sh uang,,,,,h uang,,,
ue,,,,,,,,j vE,q vE,x vE,,,,,,,,,,,,vE,,
ui,,,d uEi,g uEi,,t uEi,k uEi,,,,z uEi,c uEi,s uEi,zh uEi,ch uEi,sh uEi,,,,,h uEi,,,r uEi
uai,,,,g uai,,,k uai,,,,,,,zh uai,ch uai,sh uai,,,,,h uai,,,
ve,,,,,,,,,,,,,,,,,,n vE,l vE,,,,,
er,R,,,,,,,,,,,,,,,,,,,,,,,
